"","Facetvar","Approximator","Runtime_mean","RuntimeWithCostPerBudget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=4","KernelSHAPIQ",0.24129213809967,2500.2412921381,11.0805422527153,8.54482875654243,13.6162557488882
"2","k=4","KernelSHAPIQ",0.461884002685547,5000.46188400269,20.2862645749304,15.7000080892495,24.8725210606113
"3","k=4","KernelSHAPIQ",0.873615527153015,10000.8736155272,16.0561009085507,13.1059384771597,19.0062633399417
"4","k=4","KernelSHAPIQ",1.48265120983124,17501.4826512098,9.30129826106647,7.53024604463991,11.072350477493
"5","k=4","KernelSHAPIQ",2.02234496116638,25002.0223449612,6.83707671025275,5.5998020421564,8.0743513783491
"6","k=4","KernelSHAPIQ",2.35488236427307,37502.3548823643,3905006.57255552,29016.638862404,7780996.50624863
"7","k=4","KernelSHAPIQ",2.38644354820251,50002.3864435482,62.2859177567426,52.9428908065524,71.6289447069328
"8","k=4","PermutationIQ",0.0229529047012329,2500.0229529047,499.105372569498,429.737810619712,568.472934519285
"9","k=4","PermutationIQ",0.0451919651031494,5000.0451919651,324.685918785248,283.955541118427,365.416296452068
"10","k=4","PermutationIQ",0.0740149450302124,10000.074014945,191.230773615347,166.816051068741,215.645496161952
"11","k=4","PermutationIQ",0.129391417503357,17500.1293914175,128.320068023486,111.726530750596,144.913605296376
"12","k=4","PermutationIQ",0.180367617607117,25000.1803676176,100.062355896705,87.4260281102147,112.698683683196
"13","k=4","PermutationIQ",0.269870367050171,37500.269870367,73.8378816936821,64.8121048502119,82.8636585371523
"14","k=4","PermutationIQ",0.366243276596069,50000.3662432766,58.8234741772728,51.0874852517891,66.5594631027565
"15","k=4","PermutationIQStratified",0.0875565576553345,2500.08755655766,2836.9457307015,1218.94087326905,4454.95058813395
"16","k=4","PermutationIQStratified",0.100325198173523,5000.10032519817,23014.7771828244,16334.7139004485,29694.8404652003
"17","k=4","PermutationIQStratified",0.133435287475586,10000.1334352875,761.531711599538,645.710823566592,877.352599632485
"18","k=4","PermutationIQStratified",0.203598046302795,17500.2035980463,324.021869937951,273.041870011377,375.001869864525
"19","k=4","PermutationIQStratified",0.263556990623474,25000.2635569906,181.813234701182,149.563230347462,214.063239054901
"20","k=4","PermutationIQStratified",0.353425769805908,37500.3534257698,103.464805504389,90.2565855815397,116.673025427238
"21","k=4","PermutationIQStratified",0.459377517700195,50000.4593775177,69.0329409946171,59.2953981652867,78.7704838239475
"22","k=4","PermutationSamplingSII",9.69362258911133e-05,2500.00009693623,6.04598041207615,4.70587278702893,7.38608803712337
"23","k=4","PermutationSamplingSII",9.3994140625e-05,5000.00009399414,6.04598041207615,4.70587278702893,7.38608803712337
"24","k=4","PermutationSamplingSII",9.38987731933594e-05,10000.0000938988,6.04598041207615,4.70587278702893,7.38608803712337
"25","k=4","PermutationSamplingSII",0.00278923988342285,17500.0027892399,6.01635199442869,4.6757463346702,7.35695765418717
"26","k=4","PermutationSamplingSII",0.00279738426208496,25000.0027973843,5.11556781165156,4.0866739101516,6.14446171315151
"27","k=4","PermutationSamplingSII",0.00530983448028564,37500.0053098345,5.97072218998425,4.6298276835115,7.311616696457
"28","k=4","PermutationSamplingSII",0.00780740737915039,50000.0078074074,5.01029422935266,3.974936311005,6.04565214770032
"29","k=4","SHAPIQ",0.0442401695251465,2500.04424016952,79768.9544843857,71469.2294322985,88068.6795364729
"30","k=4","SHAPIQ",0.0518955230712891,5000.05189552307,33314.2416858528,30137.4813195472,36491.0020521583
"31","k=4","SHAPIQ",0.0717635297775269,10000.0717635298,12660.8070846062,11439.8201327244,13881.794036488
"32","k=4","SHAPIQ",0.0908525609970093,17500.090852561,4187.62066795761,3783.49846995926,4591.74286595597
"33","k=4","SHAPIQ",0.127272572517395,25000.1272725725,1581.73846095211,1431.04975284746,1732.42716905676
"34","k=4","SHAPIQ",0.137174377441406,37500.1371743774,21520.2074900165,19445.0749842996,23595.3399957334
"35","k=4","SHAPIQ",0.179152665138245,50000.1791526651,8069.28680631551,7292.58173026307,8845.99188236795
"36","k=4","SVARMIQ",3.27398055076599,2503.27398055077,3678.72995117657,3266.72415323394,4090.73574911919
"37","k=4","SVARMIQ",3.66413628101349,5003.66413628101,6532.21657713626,5773.16046215295,7291.27269211958
"38","k=4","SVARMIQ",4.52898684501648,10004.528986845,1723.55598428453,1583.24762436198,1863.86434420707
"39","k=4","SVARMIQ",5.66803203582764,17505.6680320358,3395.91680431241,2968.13298263887,3823.70062598596
"40","k=4","SVARMIQ",6.83210363864899,25006.8321036386,843.952867194971,750.455495216091,937.450239173851
"41","k=4","SVARMIQ",13.8007108831406,37513.8007108831,4504.12633092761,4158.95813372064,4849.29452813458
"42","k=4","SVARMIQ",16.7248162031174,50016.7248162031,2044.23326831409,1886.70570708339,2201.76082954479
